Country,Latitude,Longitude,Total flights,scale
Sierra Leone,8.6175,-13.196944,26,1.0179710665828017
Azerbaijan,40.462486,50.05039,178,1.127235151406236
India,28.556555,77.10079,3432,3.466349177823704
Kuwait,29.240116,47.971252,228,1.1631772845718393
Gabon,0.456963,9.409852,43,1.0301913918591068
Comoros,-11.537275,43.27492,14,1.0093449546230568
Argentina,-34.55622,-58.41667,610,1.4377751819570492
Aruba,12.502222,-70.013885,67,1.0474436157785965
Christmas Island,-10.5,105.666664,4,1.0021565279899363
Armenia,40.15272,44.39805,133,1.094887231557193
Singapore,1.361173,103.990204,836,1.6002336238655763
Norfolk Island,-29.0425,167.93944,6,1.0035942133165603
Antigua and Barbuda,17.108334,-61.76389,60,1.042411717135412
Saint Vincent and the Grenadines,13.14604,-61.21038,8,1.0050318986431845
Denmark,55.62905,12.647601,619,1.4442447659268578
Egypt,30.120106,31.40647,687,1.4931260670320783
French Polynesia,-17.55963,-149.60938,149,1.106388714170186
Cameroon,4.01346,9.717018,122,1.08697996226076
Namibia,-22.487345,17.463202,53,1.0373798184922276
Guinea-Bissau,11.888889,-15.657222,10,1.0064695839698086
São Tomé and Príncipe,0.378333,6.725,9,1.0057507413064966
North Korea,39.2,125.666664,12,1.0079072692964328
Angola,-8.847951,13.234862,114,1.0812292209542635
Sudan,15.592217,32.549698,141,1.1006379728636895
Botswana,-24.557981,25.92451,49,1.0345044478389793
Guernsey,49.432755,-2.595044,44,1.0309102345224188
United States,41.976913,-87.90488,22259,17.0
Thailand,13.693062,100.752045,1030,1.7396891005481177
Bahrain,26.26918,50.62605,227,1.1624584419085273
Northern Mariana Islands,15.122178,145.72325,23,1.0158145385928654
Germany,50.050735,8.570773,4392,4.156438134603288
Slovakia,48.170017,17.199799,42,1.0294725491957948
Israel,32.000454,34.870743,256,1.1833048791445773
Spain,40.46515,-3.570209,4829,4.470572378470662
Nicaragua,12.144838,-86.171265,35,1.0244406505526102
Hungary,47.433037,19.261621,203,1.1452062179890377
