country_name,city_code,country_code,time_zone,Airport name,code,iata_type,coordinates.lat,coordinates.lon
Sierra Leone,FNA,SL,Africa/Freetown,Lungi International Airport,FNA,airport,8.6175,-13.196944
Azerbaijan,GBB,AZ,Asia/Baku,Gabala International Airport,GBB,airport,40.4936,47.4245
Azerbaijan,BAK,AZ,Asia/Baku,Heydar Aliyev International Airport,GYD,airport,40.462486,50.05039
Azerbaijan,NAJ,AZ,Asia/Baku,Nakhichevan Airport,NAJ,airport,39.190277,45.45889
Azerbaijan,LLK,AZ,Asia/Baku,Lankaran International Airport,LLK,airport,38.74203,48.824093
Azerbaijan,GNJ,AZ,Asia/Baku,Ganja Airport,GNJ,airport,40.733334,46.316666
India,AGR,IN,Asia/Kolkata,Kheria,AGR,airport,27.158333,77.962776
India,HYD,IN,Asia/Kolkata,Rajiv Gandhi International Airport,HYD,airport,17.24,78.428055
India,DIB,IN,Asia/Kolkata,Dibrugarh Airport,DIB,airport,27.482908,95.021065
India,HBX,IN,Asia/Kolkata,Hubli Airport,HBX,airport,15.358738,75.08608
India,BHJ,IN,Asia/Kolkata,Rudra Mata Airport,BHJ,airport,23.2875,69.670555
India,UDR,IN,Asia/Kolkata,Maharana Pratap Airport,UDR,airport,24.61919,73.891266
India,JDH,IN,Asia/Kolkata,Jodhpur Airport,JDH,airport,26.263948,73.05055
India,IXD,IN,Asia/Kolkata,Bamrauli Airport,IXD,airport,25.439722,81.736115
India,IXR,IN,Asia/Kolkata,Birsa Munda Airport,IXR,airport,23.318192,85.32285
India,PAT,IN,Asia/Kolkata,Jay Prakash Narayan International Airport,PAT,airport,25.59489,85.09067
India,GAU,IN,Asia/Kolkata,Lokpriya Gopinath Bordoloi International Airport,GAU,airport,26.105982,91.58881
India,SAG,IN,Asia/Colombo,Shirdi,SAG,airport,19.689245,74.388016
India,IXA,IN,Asia/Kolkata,Agartala Airport,IXA,airport,23.8926,91.244514
India,IXC,IN,Asia/Kolkata,Chandigarh Airport,IXC,airport,30.674921,76.797386
India,BBI,IN,Asia/Kolkata,Biju Patnaik International Airport,BBI,airport,20.252853,85.81738
India,IXM,IN,Asia/Kolkata,Madurai Airport,IXM,airport,9.837471,78.09112
India,VNS,IN,Asia/Kolkata,Lal Bahadur Shastri International Airport,VNS,airport,25.449697,82.85373
India,IXU,IN,Asia/Kolkata,Chikkalthana Airport,IXU,airport,19.866465,75.39721
India,DHM,IN,Asia/Kolkata,Gaggal Airport,DHM,airport,32.3,76.26667
India,STV,IN,Asia/Kolkata,Surat Gujarat Airport,STV,airport,21.117659,72.745255
India,KUU,IN,Asia/Kolkata,Bhuntar Airport,KUU,airport,31.983334,77.1
India,BHO,IN,Asia/Kolkata,Raja Bhoj Airport,BHO,airport,23.284761,77.34177
India,IXE,IN,Asia/Kolkata,Mangalore Airport,IXE,airport,12.963543,74.890144
India,PGH,IN,Asia/Kolkata,Pantnagar Airport,PGH,airport,29.031944,79.47361
