Airline,Source,Destination,codeshare,transfers,planes
2B,AER,DME,False,0,['CR2']
2B,ASF,LED,False,0,['CR2']
2B,CEK,DME,False,0,['CR2']
2B,CEK,KZN,False,0,['CR2']
2B,CEK,OVB,False,0,['CR2']
2B,DME,AER,False,0,['CR2']
2B,DME,CEK,False,0,['CR2']
2B,DME,KGD,False,0,['CR2']
2B,DME,NBC,False,0,['CR2']
2B,DME,PEZ,False,0,['CR2']
2B,DME,UUA,False,0,['CR2']
2B,GOJ,LED,False,0,['CR2']
2B,GOJ,MRV,False,0,['CR2']
2B,GYD,NBC,False,0,['CR2']
2B,KGD,DME,False,0,['CR2']
2B,KZN,CEK,False,0,['CR2']
2B,KZN,LED,False,0,['CR2']
2B,KZN,MUC,False,0,['CR2']
2B,KZN,UUA,False,0,['CR2']
2B,LED,ASF,False,0,['CR2']
2B,LED,GOJ,False,0,['CR2']
2B,LED,KZN,False,0,['CR2']
2B,LED,NBC,False,0,['CR2']
2B,LED,PEZ,False,0,['CR2']
2B,LED,UUA,False,0,['CR2']
2B,MRV,GOJ,False,0,['CR2']
2B,MUC,KZN,False,0,['CR2']
2B,NBC,DME,False,0,['CR2']
2B,NBC,GYD,False,0,['CR2']
2B,NBC,LED,False,0,['CR2']
2B,NBC,NJC,False,0,['CR2']
2B,NJC,NBC,False,0,['CR2']
2B,NJC,UUA,False,0,['CR2']
2B,OVB,CEK,False,0,['CR2']
2B,PEZ,DME,False,0,['CR2']
2B,PEZ,LED,False,0,['CR2']
2B,UUA,DME,False,0,['CR2']
2B,UUA,KZN,False,0,['CR2']
2B,UUA,LED,False,0,['CR2']
2B,UUA,NJC,False,0,['CR2']
2I,ANS,LIM,False,0,['141']
2I,AYP,LIM,False,0,['142']
2I,CUZ,LIM,False,0,"['141', '142']"
2I,CUZ,PEM,False,0,['142']
2I,HUU,LIM,False,0,['141']
2I,IQT,PCL,False,0,"['142', '143']"
2I,IQT,TPP,False,0,['142']
2I,LIM,ANS,False,0,['141']
2I,LIM,AYP,False,0,['142']
2I,LIM,CUZ,False,0,"['141', '142']"
2I,LIM,HUU,False,0,['141']
2I,LIM,PCL,False,0,"['142', '143']"
2I,LIM,TPP,False,0,['142']
2I,LIM,TYL,False,0,['142']
2I,PCL,IQT,False,0,"['142', '143']"
2I,PCL,LIM,False,0,"['142', '143']"
2I,PCL,TPP,False,0,['143']
2I,PEM,CUZ,False,0,['142']
2I,TPP,IQT,False,0,['142']
2I,TPP,LIM,False,0,"['142', '143']"
2I,TPP,PCL,False,0,['142']
2I,TYL,LIM,False,0,['142']
2J,ABJ,BOY,False,0,"['CRJ', 'M87']"
2J,ABJ,OUA,False,0,"['CRJ', 'M87']"
2J,ACC,OUA,False,0,['CRJ']
2J,BKO,DKR,False,0,['M87']
2J,BKO,OUA,False,0,"['M87', 'CRJ']"
2J,BOY,ABJ,False,0,"['CRJ', 'M87']"
2J,BOY,OUA,False,0,"['CRJ', 'M87']"
2J,COO,LBV,False,0,['M87']
2J,COO,OUA,False,0,['M87']
2J,DKR,BKO,False,0,['M87']
2J,DKR,OUA,False,0,['M87']
2J,LBV,COO,False,0,['M87']
2J,LFW,OUA,False,0,['CRJ']
2J,NIM,OUA,False,0,['CRJ']
2J,OUA,ABJ,False,0,"['CRJ', 'M87']"
2J,OUA,ACC,False,0,['CRJ']
2J,OUA,BKO,False,0,"['M87', 'CRJ']"
2J,OUA,BOY,False,0,"['CRJ', 'M87']"
2J,OUA,COO,False,0,['M87']
2J,OUA,DKR,False,0,['M87']
2J,OUA,LFW,False,0,['CRJ']
2J,OUA,NIM,False,0,['CRJ']
2K,BOG,GYE,False,0,['319']
2K,BOG,UIO,False,0,"['320', '319']"
2K,CUE,UIO,False,0,['319']
2K,GPS,GYE,False,0,"['320', '319']"
2K,GPS,UIO,False,0,['319']
2K,GYE,BOG,False,0,['319']
2K,GYE,GPS,False,0,"['320', '319']"
2K,GYE,SCY,False,0,"['319', '320']"
2K,GYE,UIO,False,0,"['319', '320']"
2K,MEC,UIO,False,0,"['319', '320']"
2K,OCC,UIO,False,0,['319']
2K,SCY,GYE,False,0,"['319', '320']"
2K,UIO,BOG,False,0,"['320', '319']"
2K,UIO,CUE,False,0,['319']
2K,UIO,GYE,False,0,"['319', '320']"
2K,UIO,MEC,False,0,"['319', '320']"
2K,UIO,OCC,False,0,['319']
2L,BDS,BRN,False,0,['100']
2L,BDS,ZRH,False,0,['100']
2L,BRI,ZRH,False,0,['100']
2L,BRN,BDS,False,0,['100']
2L,BRN,CTA,False,0,['100']
2L,BRN,NBE,False,0,['100']
2L,BRN,PMI,False,0,['100']
2L,BRS,ZRH,False,0,['100']
2L,CTA,BRN,False,0,['100']
2L,NBE,BRN,False,0,['100']
2L,PMI,BRN,False,0,['100']
2L,RLG,ZRH,False,0,['100']
2L,ZRH,BDS,False,0,['100']
2L,ZRH,BRI,False,0,['100']
2L,ZRH,BRS,False,0,['100']
2L,ZRH,RLG,False,0,['100']
2M,KIV,RIX,True,0,['DH4']
2M,KIV,TSR,True,0,"['S20', '100']"
2M,RIX,KIV,True,0,['DH4']
2M,TSR,KIV,True,0,"['S20', '100']"
2N,AJR,LYC,False,0,['ATP']
2N,ARN,GEV,False,0,['AT7']
2N,ARN,HAD,False,0,['ATP']
2N,ARN,KRF,False,0,['AT7']
2N,ARN,KSD,False,0,['SF3']
2N,ARN,LYC,False,0,['ATP']
2N,ARN,MHQ,False,0,['SF3']
2N,ARN,VBY,False,0,['SF3']
2N,ARN,VHM,False,0,['SF3']
2N,ARN,VXO,False,0,['SF3']
2N,CPH,LPI,False,0,['SF3']
2N,CPH,NRK,False,0,['SF3']
2N,CPH,ORB,False,0,['SF3']
2N,GEV,ARN,False,0,['AT7']
2N,GEV,KRF,False,0,['AT7']
2N,HAD,ARN,False,0,['ATP']
2N,HMV,VHM,False,0,['SF3']
2N,KRF,ARN,False,0,['AT7']
2N,KRF,GEV,False,0,['AT7']
2N,KSD,ARN,False,0,['SF3']
2N,KSD,NRK,False,0,['SF3']
2N,LPI,CPH,False,0,['SF3']
2N,LPI,ORB,False,0,['SF3']
2N,LYC,AJR,False,0,['ATP']
2N,LYC,ARN,False,0,['ATP']
2N,MHQ,ARN,False,0,['SF3']
2N,MHQ,TKU,False,0,['SF3']
2N,NRK,CPH,False,0,['SF3']
2N,NRK,KSD,False,0,['SF3']
2N,ORB,CPH,False,0,['SF3']
2N,ORB,LPI,False,0,['SF3']
2N,TKU,MHQ,False,0,['SF3']
2N,VBY,ARN,False,0,['SF3']
2N,VHM,ARN,False,0,['SF3']
2N,VHM,HMV,False,0,['SF3']
2N,VXO,ARN,False,0,['SF3']
2O,ADQ,AOS,False,0,['BNI']
2O,ADQ,KLN,False,0,['BNI']
2O,ADQ,KOY,False,0,['BNI']
2O,ADQ,KOZ,False,0,['BNI']
2O,ADQ,KPY,False,0,['BNI']
2O,ADQ,OLH,False,0,['BNI']
2O,AOS,KZB,False,0,['BNI']
2O,KLN,KYK,False,0,['BNI']
2O,KMY,ALZ,False,0,['BNI']
2O,KOY,KMY,False,0,['BNI']
2O,KOZ,ORI,False,0,['BNI']
2O,KPY,UGI,False,0,['BNI']
2O,UGI,KWP,False,0,['BNI']
2P,BCD,CEB,False,0,['DH4']
2P,BCD,MNL,False,0,['320']
2P,BXU,CEB,False,0,['DH4']
2P,CBO,CEB,False,0,['DH4']
2P,CBO,MNL,False,0,['320']
2P,CEB,BCD,False,0,['DH4']
2P,CEB,BXU,False,0,['DH4']
2P,CEB,CBO,False,0,['DH4']
2P,CEB,CGY,False,0,['DH4']
2P,CEB,CRK,False,0,['320']
