Unnamed: 0,Airline,Source,Destination,codeshare,transfers,planes,source_lat,dest_lat,source_lon,dest_lon,Source Airport Name,Destination Airport Name,Trace_name
1045,4Q,AUH,KBL,False,0,['320'],24.426912,34.56069,54.645973,69.21152,Abu Dhabi International Airport (AUH),Kabul International Airport (KBL),From AUH to KBL
1046,4Q,BAH,KBL,False,0,['320'],26.26918,34.56069,50.62605,69.21152,Bahrain International Airport (BAH),Kabul International Airport (KBL),From BAH to KBL
1047,4Q,DEL,KBL,False,0,['320'],28.556555,34.56069,77.10079,69.21152,Indira Gandhi International Airport (DEL),Kabul International Airport (KBL),From DEL to KBL
1048,4Q,DXB,KBL,False,0,['320'],25.248665,34.56069,55.352917,69.21152,Dubai Airport (DXB),Kabul International Airport (KBL),From DXB to KBL
1049,4Q,HEA,KBL,False,0,['320'],34.212696,34.56069,62.22599,69.21152,Herat International Airport (HEA),Kabul International Airport (KBL),From HEA to KBL
1050,4Q,KBL,AUH,False,0,['320'],34.56069,24.426912,69.21152,54.645973,Kabul International Airport (KBL),Abu Dhabi International Airport (AUH),From KBL to AUH
1051,4Q,KBL,BAH,False,0,['320'],34.56069,26.26918,69.21152,50.62605,Kabul International Airport (KBL),Bahrain International Airport (BAH),From KBL to BAH
1052,4Q,KBL,DEL,False,0,['320'],34.56069,28.556555,69.21152,77.10079,Kabul International Airport (KBL),Indira Gandhi International Airport (DEL),From KBL to DEL
1053,4Q,KBL,DXB,False,0,['320'],34.56069,25.248665,69.21152,55.352917,Kabul International Airport (KBL),Dubai Airport (DXB),From KBL to DXB
1054,4Q,KBL,HEA,False,0,['320'],34.56069,34.212696,69.21152,62.22599,Kabul International Airport (KBL),Herat International Airport (HEA),From KBL to HEA
8456,AI,DEL,KBL,False,0,['319'],28.556555,34.56069,77.10079,69.21152,Indira Gandhi International Airport (DEL),Kabul International Airport (KBL),From DEL to KBL
8595,AI,KBL,DEL,False,0,['319'],34.56069,28.556555,69.21152,77.10079,Kabul International Airport (KBL),Indira Gandhi International Airport (DEL),From KBL to DEL
21372,EP,IKA,KBL,False,0,['72S'],35.40863,34.56069,51.1548,69.21152,Imam Khomeini International Airport (IKA),Kabul International Airport (KBL),From IKA to KBL
21376,EP,KBL,IKA,False,0,['72S'],34.56069,35.40863,69.21152,51.1548,Kabul International Airport (KBL),Imam Khomeini International Airport (IKA),From KBL to IKA
21377,EP,KBL,MHD,False,0,['72S'],34.56069,36.227173,69.21152,59.64165,Kabul International Airport (KBL),Mashhad International Airport (MHD),From KBL to MHD
21378,EP,KDH,IKA,False,0,['72S'],31.506945,35.40863,65.8475,51.1548,Kandahar Airport (KDH),Imam Khomeini International Airport (IKA),From KDH to IKA
21379,EP,KDH,MHD,False,0,['72S'],31.506945,36.227173,65.8475,59.64165,Kandahar Airport (KDH),Mashhad International Airport (MHD),From KDH to MHD
21405,EP,MHD,KBL,False,0,['72S'],36.227173,34.56069,59.64165,69.21152,Mashhad International Airport (MHD),Kabul International Airport (KBL),From MHD to KBL
21406,EP,MHD,KDH,False,0,['72S'],36.227173,31.506945,59.64165,65.8475,Mashhad International Airport (MHD),Kandahar Airport (KDH),From MHD to KDH
21883,EY,AUH,KBL,True,0,['320'],24.426912,34.56069,54.645973,69.21152,Abu Dhabi International Airport (AUH),Kabul International Airport (KBL),From AUH to KBL
21978,EY,KBL,AUH,True,0,['320'],34.56069,24.426912,69.21152,54.645973,Kabul International Airport (KBL),Abu Dhabi International Airport (AUH),From KBL to AUH
22506,FG,DXB,KBL,False,0,"['737', '727']",25.248665,34.56069,55.352917,69.21152,Dubai Airport (DXB),Kabul International Airport (KBL),From DXB to KBL
22507,FG,DXB,KDH,False,0,['727'],25.248665,31.506945,55.352917,65.8475,Dubai Airport (DXB),Kandahar Airport (KDH),From DXB to KDH
22508,FG,DYU,KBL,False,0,['727'],38.54894,34.56069,68.81728,69.21152,Dushanbe Airport (DYU),Kabul International Airport (KBL),From DYU to KBL
22509,FG,ESB,KBL,False,0,['310'],40.11494,34.56069,32.993145,69.21152,Esenboga International Airport (ESB),Kabul International Airport (KBL),From ESB to KBL
22510,FG,IST,KBL,False,0,['313'],40.9769,34.56069,28.82055,69.21152,Istanbul New Airport (IST),Kabul International Airport (KBL),From IST to KBL
22511,FG,KBL,DEL,False,0,['310'],34.56069,28.556555,69.21152,77.10079,Kabul International Airport (KBL),Indira Gandhi International Airport (DEL),From KBL to DEL
