index,Total number of flights
AAA,2.0
AAE,14.0
AAL,28.0
AAN,4.0
AAQ,8.0
AAR,20.0
AAT,4.0
AAX,9.0
AAY,5.0
ABA,6.0
ABB,4.0
ABD,16.0
ABE,22.0
ABI,2.0
ABJ,82.0
ABK,2.0
ABL,8.0
ABM,2.0
ABQ,75.0
ABR,2.0
ABS,3.0
ABT,6.0
ABV,59.0
ABX,10.0
ABY,2.0
ABZ,85.0
ACA,15.0
ACC,73.0
ACE,236.0
ACH,4.0
ACI,4.0
ACK,13.0
ACP,2.0
ACR,4.0
ACT,2.0
ACV,6.0
ACX,10.0
ACY,14.0
ADA,30.0
ADB,113.0
ADD,222.0
ADE,50.0
ADF,2.0
ADK,2.0
ADL,88.0
ADQ,18.0
ADU,4.0
ADZ,20.0
AEB,4.0
AEG,2.0
AEP,185.0
AER,60.0
AES,20.0
AET,5.0
AEX,6.0
AEY,2.0
AFA,4.0
AFL,6.0
AFT,2.0
AFZ,2.0
AGA,54.0
AGB,2.0
AGF,2.0
AGH,10.0
AGM,2.0
AGN,2.0
AGP,356.0
AGS,10.0
AGT,8.0
AGU,14.0
AGX,2.0
AHB,24.0
AHE,2.0
AHN,2.0
AHO,62.0
AHU,2.0
AIA,12.0
AIN,4.0
AIT,5.0
AIU,3.0
AJA,35.0
AJF,4.0
AJI,4.0
AJL,14.0
AJN,2.0
AJR,4.0
AJU,36.0
AKB,2.0
AKI,8.0
AKJ,18.0
AKK,2.0
AKL,227.0
AKN,10.0
AKP,6.0
AKS,2.0
AKU,7.0
AKV,4.0
AKX,16.0
AKY,9.0
ALA,166.0
ALB,46.0
ALC,270.0
ALF,18.0
ALG,138.0
ALH,8.0
ALO,2.0
ALP,3.0
ALS,8.0
ALW,2.0
ALZ,1.0
AMA,12.0
AMD,71.0
AMH,2.0
AMM,232.0
AMQ,20.0
AMS,938.0
AMV,2.0
ANC,118.0
ANE,2.0
ANF,28.0
ANI,20.0
ANM,6.0
ANR,2.0
ANS,4.0
ANU,60.0
ANV,4.0
ANX,7.0
AOE,2.0
AOI,26.0
